"";"specimen_ID";"laboratory";"species";"station_name";"organ";"fat_percentage";"BDE28";"BDE47";"BDE99";"BDE100";"BDE153";"BDE154";"HBCD"
"51";"C2018/02661-02672";"SU";"Salvelinus";"Stor-Tjultrasket";"Muscle";"1.7";NA;"1.4";"0.93";"0.56";"<0.2";"0.37";"2"
"52";"C2018/00092-00096";"SU";"Esox lucius";"Storvindeln";"Muscle";"0.58";NA;"3.2";"3.3";"2.7";"0.73";"1.7";"<1"
"53";"C2018/00097-00100";"SU";"Esox lucius";"Storvindeln";"Muscle";"0.67";NA;"3.1";"3";"2.6";"0.62";"1.5";"<1"
"54";"C2018/00381-00392";"SU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.65";NA;"0.94";"1";"0.37";"<0.3";"0.37";"<1"
"55";"C2018/00393-00404";"SU";"Perca fluviatilis";"Svartsjon";"Muscle";"0.7";NA;"0.71";"0.75";"0.31";"<0.3";"0.34";"<1"
"56";"C2019/00249";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"13.2";"0.555";"17.7";"3.6";"2.1";"1";"1.79";"51.6"
"57";"C2019/00250";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"11.4";"0.326";"7.53";"1.86";"1.19";"2.55";"1.31";"47.2"
"58";"C2019/00251";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"12.4";"<0.19";"4.01";"0.996";"2.64";"2.17";"1.01";"70.2"
"59";"C2019/00252";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"12.7";"0.873";"37.7";"5.34";"2.39";"1.7";"2.16";"38.1"
"60";"C2019/00253";"SFA";"Uria aalge";"Stora Karlso";"Egg content";"14.9";"0.325";"28.2";"3.66";"4.06";"1.53";"1.64";"28.2"
"61";"C2019/04401-04450";"SFA";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"2.36";"<0.21";"1.58";"1.4";"2.13";"<0.21";"<0.21";"<0.42"
"62";"C2019/04508-04557";"SFA";"Mytilus edulis";"Kvadofjarden";"Soft tissue";"3.63";"<0.14";"<0.91";"0.95";"2.44";"<0.14";"<0.14";"0.424"
"63";"C2019/03270-03281";"SFA";"Clupea harengus";"Ranefjarden";"Muscle";"2.74";"0.139";"3.86";"1.19";"0.845";"0.299";"0.83";"4.85"
