"";"year";"specimen_ID";"laboratory";"species";"station_name";"fat_percentage";"Cu";"As";"Cd";"Pb";"Zn";"Ag";"Hg";"Ni";"Cr"
"166";"2007";"C2007/06135";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"6.76";NA;NA
"167";"2007";"C2007/06136";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"6.92";NA;NA
"168";"2007";"C2007/06137";"SLU";"Mytilus edulis";"Nidingen";NA;NA;NA;NA;NA;NA;NA;"8.03";NA;NA
"169";"1999";"P1999/03539";"SU";"Gadus morhua";"South Eastern Gotland";NA;"14.6";NA;"0.07";"0.006";"38.7";NA;NA;"0.08";"0.26"
"170";"1999";"P1999/03540";"SU";"Gadus morhua";"South Eastern Gotland";NA;"31.1";NA;"0.04";"0.012";"57.8";NA;NA;"0.16";"0.24"
"171";"1999";"P1999/03544";"SU";"Gadus morhua";"South Eastern Gotland";NA;"58";NA;"0.033";"0.009";"68.8";NA;NA;"0.04";"0.26"
"172";"1999";"P1999/03538";"SU";"Gadus morhua";"South Eastern Gotland";NA;"28.9";NA;"0.05";"0.012";"63.4";NA;NA;"0.16";"0.39"
"173";"1999";"P1999/03536";"SU";"Gadus morhua";"South Eastern Gotland";NA;"28.6";NA;"0.025";"0.008";"43.4";NA;NA;"0.05";"0.22"
"174";"1999";"P1999/03541";"SU";"Gadus morhua";"South Eastern Gotland";NA;"13.3";NA;"0.014";"0.006";"30.6";NA;NA;"0.07";"0.22"
"175";"1999";"P1999/03542";"SU";"Gadus morhua";"South Eastern Gotland";NA;"8.67";NA;"0.012";"0.006";"23.4";NA;NA;"0.04";"0.26"
"176";"1999";"P1999/03543";"SU";"Gadus morhua";"South Eastern Gotland";NA;"24.8";NA;"0.024";"0.006";"50.4";NA;NA;"0.02";"0.23"
"177";"1999";"P1999/03537";"SU";"Gadus morhua";"South Eastern Gotland";NA;"11.4";NA;"0.044";"0.012";"45.4";NA;NA;"0.05";"0.15"
"178";"1999";"P1999/03535";"SU";"Gadus morhua";"South Eastern Gotland";NA;"22.4";NA;"0.046";"0.004";"53.6";NA;NA;"0.05";"0.18"
"179";"2007";"C2007/00687";"SLU";"Clupea harengus";"Utlangan";NA;NA;NA;NA;NA;NA;NA;"49.9";NA;NA
"180";"2007";"C2007/00685";"SLU";"Clupea harengus";"Utlangan";NA;NA;NA;NA;NA;NA;NA;"9.65";NA;NA
"181";"2007";"C2007/00686";"SLU";"Clupea harengus";"Utlangan";NA;NA;NA;NA;NA;NA;NA;"14.7";NA;NA
"182";"2007";"C2007/00688";"SLU";"Clupea harengus";"Utlangan";NA;NA;NA;NA;NA;NA;NA;"45.3";NA;NA
"183";"2007";"C2007/00682";"SLU";"Clupea harengus";"Utlangan";NA;NA;NA;NA;NA;NA;NA;"16";NA;NA
"184";"2007";"C2007/00684";"SLU";"Clupea harengus";"Utlangan";NA;NA;NA;NA;NA;NA;NA;"6.57";NA;NA
"185";"2007";"C2007/00680";"SLU";"Clupea harengus";"Utlangan";NA;NA;NA;NA;NA;NA;NA;"7.65";NA;NA
"186";"2007";"C2007/00681";"SLU";"Clupea harengus";"Utlangan";NA;NA;NA;NA;NA;NA;NA;"17.8";NA;NA
"187";"1999";"P1999/04504";"SU";"Clupea harengus";"Vaderoarna";NA;"15";NA;"0.359";"0.037";"90.6";NA;NA;"0.05";"0.16"
"188";"1999";"P1999/04512";"SU";"Clupea harengus";"Vaderoarna";NA;"17.5";NA;"0.692";"0.051";"112";NA;NA;"0.06";"0.17"
"189";"1999";"P1999/04513";"SU";"Clupea harengus";"Vaderoarna";NA;"7.93";NA;"0.268";"0.025";"83.5";NA;NA;"0.03";"0.16"
"190";"1999";"P1999/04507";"SU";"Clupea harengus";"Vaderoarna";NA;"14.4";NA;"0.53";"0.059";"120";NA;NA;"0.12";"0.23"
"191";"1999";"P1999/04509";"SU";"Clupea harengus";"Vaderoarna";NA;"8.99";NA;"0.309";"0.039";"71.9";NA;NA;"0.04";"0.21"
"192";"1999";"P1999/04505";"SU";"Clupea harengus";"Vaderoarna";NA;"10.2";NA;"0.274";"0.025";"87.2";NA;NA;"0.03";"0.14"
"193";"1999";"P1999/04508";"SU";"Clupea harengus";"Vaderoarna";NA;"9.04";NA;"0.495";"0.05";"73.2";NA;NA;"0.05";"0.2"
"194";"1999";"P1999/04511";"SU";"Clupea harengus";"Vaderoarna";NA;"11.4";NA;"0.412";"0.042";"110";NA;NA;"0.04";"0.12"
"195";"1999";"P1999/04510";"SU";"Clupea harengus";"Vaderoarna";NA;"11.8";NA;"0.438";"0.038";"104";NA;NA;"0.03";"0.19"
"196";"1999";"P1999/04506";"SU";"Clupea harengus";"Vaderoarna";NA;"9.38";NA;"0.237";"0.042";"90.6";NA;NA;"0.04";"0.13"
"197";"1994";"P1994/02453-02462";"SU";"Gadus morhua";"South Eastern Gotland";NA;"9.56";NA;"0.0561";"0.0444";"24.3";NA;"29.4";NA;NA
"198";"1995";"P1995/03240-03249";"SU";"Gadus morhua";"South Eastern Gotland";NA;"23.49";NA;"0.0534";"0.0438";"46.7";NA;"29.3";"0.1472";"0.0358"
"199";"1996";"P1996/01923-01932";"SU";"Gadus morhua";"South Eastern Gotland";NA;"24.6666666666667";NA;"0.0505555555555556";"0.0334444444444444";"68.1111111111111";NA;"27.5555555555556";"0.152222222222222";"0.187777777777778"
"200";"1997";"P1997/05153-05162";"SU";"Gadus morhua";"South Eastern Gotland";NA;"9.66";NA;"0.0514";"0.043";"21.4";NA;"31.7";"0.0814";"0.122"
"201";"1998";"P1998/05897-05906";"SU";"Gadus morhua";"South Eastern Gotland";NA;"21.23";NA;"0.031";"0.0291";"47.9";NA;"33.4";"0.141";"0.161"
"202";"1999";"P1999/03535-03544";"SU";"Gadus morhua";"South Eastern Gotland";NA;"28.4";"4.246";"0.0412";"0.0325";"67.1";NA;"35.3";"0.0913";"0.218"
"203";"2000";"P2000/03346-03355";"SU";"Gadus morhua";"South Eastern Gotland";NA;"12.7";NA;"0.0284";"0.0408";"27.3";NA;"37.7";"0.106";"0.0523"
"204";"2001";"P2001/03405-03414";"SU";"Gadus morhua";"South Eastern Gotland";NA;"14.26";NA;"0.0355";"0.0365";"33.1";NA;"35.1";"0.0841";"0.0915"
"205";"2002";"P2002/03094-03103";"SU";"Gadus morhua";"South Eastern Gotland";NA;"14.22";NA;"0.0247";"0.0297";"33.1";NA;"35.2";"0.0632";"0.11"
"206";"2003";"P2003/03275-03283";"SU";"Gadus morhua";"South Eastern Gotland";NA;"13.377";NA;"0.0609";"0.02282";"23.889";NA;"31.8";"0.09623";"0.01189"
